"Município";"Valor Exportado";"% Exp. RMC";"Valor Importado";"% Imp. RMC";"Saldo"
"AMERICANA";577,24;0,119;408,42;0,0264;168,82
"ARTUR NOGUEIRA";17,05;0,0035;62,31;0,004;-45,26
"CAMPINAS";841,81;0,1735;3046,49;0,197;-2204,68
"COSMOPOLIS";166,06;0,0342;95,02;0,0061;71,04
"ENGENHEIRO COELHO";0,17;0;6,17;4e-04;-6
"HOLAMBRA";2,94;6e-04;46,66;0,003;-43,72
"HORTOLANDIA";63,92;0,0132;1038,63;0,0672;-974,71
"INDAIATUBA";711,96;0,1467;1450,29;0,0938;-738,33
"ITATIBA";145,62;0,03;376,21;0,0243;-230,59
"JAGUARIUNA";46,29;0,0095;1092,85;0,0707;-1046,56
"MONTE MOR";86,16;0,0178;148,95;0,0096;-62,79
"MORUNGABA";1,73;4e-04;9,06;6e-04;-7,33
"NOVA ODESSA";90,51;0,0187;88,04;0,0057;2,47
"PAULINIA";836,59;0,1724;4609,1;0,2981;-3772,51
"PEDREIRA";38,17;0,0079;7,55;5e-04;30,62
"SANTA BARBARA D'OESTE";219,11;0,0452;221,95;0,0144;-2,84
"SANTO ANTONIO DE POSSE";150,92;0,0311;153,35;0,0099;-2,43
"SUMARE";384,27;0,0792;1187,83;0,0768;-803,56
"VALINHOS";129,68;0,0267;487,86;0,0316;-358,18
"VINHEDO";341,69;0,0704;926,21;0,0599;-584,52
